user_id,Yearly_avg_view_on_travel_page,frequentflyer,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,annual_incom_class,member_in_family,booking_hotal,preferred_location_type,working_flag,travelling_rating
100034,35.0,1.0,Mobile,630.0,12.0,Low,5.0,Yes,OTHER,1.0,4.0
100035,76.0,1.0,Mobile,614.0,2.0,Avera,3.0,Yes,Hill Station,1.0,2.0
100036,6.0,1.0,Desktop,676.0,8.0,Low,2.0,Yes,Trekking,0.0,1.0
100037,11.0,1.0,Mobile,371.0,15.0,Avera,5.0,Yes,Historical Site,1.0,2.0
100038,91.0,0.0,Desktop,473.0,6.0,High,1.0,No,OTHER,1.0,1.0
100039,73.0,1.0,Desktop,184.0,1.0,High,1.0,Yes,OTHER,1.0,5.0
100040,53.0,0.0,Desktop,641.0,4.0,Avera,2.0,Yes,OTHER,1.0,1.0
100041,55.0,1.0,Desktop,231.0,2.0,Avera,4.0,Yes,Big Cities,1.0,1.0
100042,80.0,1.0,Mobile,761.0,2.0,Avera,2.0,Yes,Big Cities,1.0,1.0
100043,39.0,1.0,Desktop,795.0,8.0,Avera,5.0,Yes,OTHER,1.0,1.0
100044,65.0,1.0,Desktop,282.0,7.0,High,4.0,No,OTHER,0.0,3.0
100045,77.0,0.0,Desktop,847.0,11.0,Avera,1.0,No,OTHER,1.0,3.0
100046,10.0,1.0,Desktop,758.0,9.0,Low,1.0,No,OTHER,1.0,1.0
100047,30.0,1.0,Mobile,386.0,11.0,Low,3.0,No,Tech Cities,0.0,3.0
100048,94.0,1.0,Desktop,49.0,5.0,Low,4.0,No,OTHER,1.0,2.0
100049,10.0,0.0,Mobile,419.0,11.0,Low,1.0,No,OTHER,1.0,1.0
100050,7.0,1.0,Mobile,836.0,7.0,Avera,1.0,Yes,Tech Cities,1.0,5.0
100051,65.0,0.0,Mobile,49.0,2.0,Avera,2.0,Yes,Historical Site,1.0,2.0
100052,34.0,0.0,Desktop,49.0,8.0,Avera,1.0,Yes,OTHER,1.0,1.0
100053,75.0,1.0,Desktop,82.0,13.0,High,4.0,No,Big Cities,1.0,4.0
100054,57.0,0.0,Desktop,471.0,2.0,Avera,2.0,Yes,Tech Cities,1.0,5.0
100055,56.0,0.0,Desktop,300.0,13.0,Avera,3.0,Yes,Beach,1.0,3.0
100056,18.0,1.0,Mobile,439.0,10.0,Low,2.0,Yes,Tech Cities,1.0,1.0
100057,62.0,1.0,Mobile,330.0,0.0,High,5.0,No,OTHER,1.0,2.0
100058,59.0,0.0,Mobile,839.0,8.0,High,1.0,Yes,OTHER,1.0,2.0
100059,96.0,0.0,Desktop,479.0,14.0,High,2.0,Yes,Islands,1.0,3.0
100060,5.0,1.0,Mobile,81.0,4.0,Avera,2.0,No,Beach,1.0,4.0
100061,14.0,0.0,Desktop,342.0,15.0,High,3.0,Yes,OTHER,1.0,3.0
100062,52.0,1.0,Desktop,264.0,5.0,Avera,3.0,Yes,Tech Cities,1.0,3.0
100063,50.0,1.0,Mobile,954.0,13.0,Avera,1.0,Yes,Trekking,1.0,4.0
100064,63.0,0.0,Desktop,49.0,1.0,Avera,5.0,Yes,Tech Cities,0.0,4.0
100065,49.0,1.0,Desktop,854.0,11.0,High,4.0,Yes,OTHER,1.0,2.0
100066,40.0,1.0,Mobile,51.0,11.0,Low,5.0,Yes,Trekking,1.0,4.0
100067,54.0,0.0,Desktop,221.0,7.0,High,3.0,Yes,Trekking,1.0,5.0
100068,56.0,1.0,Desktop,519.0,10.0,Avera,2.0,Yes,OTHER,1.0,1.0
100069,67.0,0.0,Desktop,268.0,13.0,Avera,5.0,Yes,Hill Station,1.0,5.0
100070,47.0,1.0,Mobile,413.0,11.0,Avera,5.0,No,Hill Station,1.0,1.0
100071,60.0,0.0,Mobile,457.0,10.0,High,3.0,No,OTHER,1.0,1.0
100072,87.0,1.0,Mobile,49.0,6.0,Low,3.0,Yes,OTHER,0.0,4.0
100073,5.0,1.0,Desktop,49.0,10.0,Avera,3.0,No,Hill Station,1.0,2.0
100074,10.0,0.0,Desktop,738.0,3.0,Avera,5.0,Yes,Historical Site,1.0,3.0
100075,33.0,0.0,Desktop,948.0,7.0,Avera,1.0,Yes,Big Cities,0.0,1.0
100076,60.0,0.0,Desktop,560.0,0.0,Avera,3.0,No,Hill Station,1.0,2.0
100077,13.0,0.0,Desktop,811.0,11.0,High,4.0,Yes,Islands,1.0,3.0
100078,87.0,0.0,Mobile,852.0,1.0,High,2.0,Yes,Trekking,1.0,1.0
100079,89.0,1.0,Mobile,771.0,1.0,High,2.0,No,Tech Cities,1.0,3.0
100080,12.0,1.0,Mobile,529.0,14.0,High,1.0,Yes,Historical Site,1.0,3.0
100081,24.0,1.0,Desktop,827.0,7.0,High,4.0,No,OTHER,1.0,2.0
100082,27.0,1.0,Mobile,638.0,14.0,Avera,5.0,No,Historical Site,1.0,3.0
100083,6.0,0.0,Mobile,694.0,6.0,Avera,5.0,Yes,Islands,1.0,1.0
100084,16.0,1.0,Mobile,524.0,3.0,Avera,4.0,Yes,OTHER,1.0,1.0
100085,87.0,1.0,Mobile,162.0,1.0,Avera,1.0,No,Hill Station,1.0,1.0
100086,67.0,0.0,Mobile,799.0,12.0,Avera,3.0,Yes,Beach,1.0,3.0
100087,48.0,0.0,Mobile,71.0,10.0,High,1.0,No,Historical Site,1.0,5.0
100088,48.0,1.0,Desktop,196.0,12.0,Avera,2.0,Yes,OTHER,1.0,3.0
100089,79.0,0.0,Desktop,613.0,13.0,Avera,1.0,Yes,Hill Station,0.0,2.0
100090,96.0,0.0,Mobile,943.0,12.0,High,4.0,No,OTHER,1.0,3.0
100091,93.0,0.0,Mobile,823.0,8.0,High,4.0,No,OTHER,1.0,3.0
100092,8.0,1.0,Mobile,49.0,11.0,Avera,1.0,Yes,Tech Cities,1.0,1.0
100093,68.0,1.0,Desktop,687.0,14.0,High,5.0,No,Hill Station,1.0,5.0
100094,96.0,0.0,Mobile,218.0,2.0,Avera,3.0,No,Big Cities,1.0,5.0
100095,76.0,1.0,Mobile,278.0,1.0,Low,1.0,Yes,Islands,1.0,3.0
100096,34.0,0.0,Mobile,921.0,11.0,Low,2.0,No,Trekking,0.0,4.0
100097,81.0,0.0,Desktop,69.0,6.0,Avera,3.0,No,OTHER,1.0,3.0
100098,85.0,1.0,Desktop,585.0,7.0,Avera,1.0,No,Beach,1.0,2.0
100099,82.0,1.0,Mobile,149.0,12.0,High,1.0,Yes,OTHER,1.0,4.0
100100,33.0,0.0,Mobile,730.0,15.0,Low,5.0,Yes,Beach,1.0,2.0
100101,24.0,0.0,Desktop,896.0,15.0,High,3.0,No,Islands,0.0,5.0
100102,64.0,0.0,Desktop,152.0,5.0,High,3.0,Yes,Big Cities,0.0,1.0
100103,5.0,0.0,Mobile,377.0,5.0,High,3.0,No,OTHER,1.0,1.0
100104,69.0,0.0,Desktop,645.0,15.0,Avera,3.0,No,OTHER,1.0,2.0
100105,5.0,0.0,Desktop,71.0,6.0,Avera,2.0,No,Trekking,1.0,4.0
100106,88.0,1.0,Mobile,640.0,10.0,Avera,5.0,No,OTHER,1.0,5.0
100107,83.0,0.0,Mobile,360.0,9.0,Avera,2.0,No,OTHER,1.0,3.0
100108,82.0,1.0,Mobile,761.0,7.0,High,4.0,No,Big Cities,1.0,1.0
100109,96.0,0.0,Mobile,49.0,0.0,High,4.0,Yes,OTHER,1.0,2.0
100110,6.0,1.0,Desktop,232.0,0.0,Low,2.0,No,Hill Station,1.0,2.0
100111,43.0,0.0,Mobile,296.0,1.0,Avera,3.0,Yes,Hill Station,0.0,5.0
100112,5.0,0.0,Mobile,118.0,8.0,High,2.0,Yes,Tech Cities,1.0,2.0
100113,53.0,0.0,Mobile,471.0,15.0,Avera,3.0,No,Hill Station,0.0,4.0
100114,44.0,1.0,Mobile,710.0,2.0,High,3.0,No,Trekking,1.0,4.0
100115,25.0,0.0,Mobile,163.0,5.0,High,1.0,No,OTHER,0.0,3.0
100116,61.0,0.0,Desktop,906.0,6.0,Avera,2.0,No,Beach,1.0,4.0
100117,30.0,0.0,Desktop,583.0,1.0,Avera,1.0,No,Trekking,1.0,4.0
100118,50.0,0.0,Mobile,899.0,3.0,Avera,4.0,Yes,Big Cities,0.0,3.0
100119,29.0,0.0,Desktop,852.0,2.0,Low,1.0,No,Big Cities,1.0,3.0
100120,86.0,1.0,Mobile,859.0,11.0,Avera,5.0,No,Islands,1.0,5.0
100121,72.0,0.0,Mobile,504.0,7.0,High,4.0,No,Trekking,1.0,2.0
100122,28.0,0.0,Mobile,927.0,1.0,High,4.0,Yes,OTHER,1.0,1.0
100123,93.0,0.0,Desktop,954.0,8.0,High,2.0,Yes,Tech Cities,1.0,4.0
100124,41.0,1.0,Desktop,877.0,1.0,Low,5.0,No,OTHER,1.0,3.0
100125,43.0,1.0,Mobile,98.0,8.0,High,5.0,Yes,Historical Site,1.0,4.0
100126,9.0,1.0,Mobile,103.0,1.0,High,4.0,No,Hill Station,1.0,2.0
100127,56.0,0.0,Desktop,891.0,12.0,Low,2.0,No,OTHER,1.0,4.0
100128,89.0,1.0,Desktop,112.0,1.0,Low,4.0,No,Big Cities,1.0,4.0
100129,73.0,0.0,Mobile,801.0,5.0,Avera,2.0,Yes,OTHER,1.0,5.0
100130,78.0,1.0,Desktop,300.0,0.0,High,3.0,Yes,Big Cities,1.0,1.0
100131,88.0,0.0,Desktop,948.0,10.0,High,4.0,Yes,Hill Station,1.0,5.0
100132,36.0,1.0,Mobile,693.0,7.0,Avera,1.0,No,Big Cities,1.0,5.0
100133,81.0,0.0,Desktop,75.0,1.0,Avera,2.0,No,OTHER,1.0,4.0
100134,82.0,0.0,Mobile,657.0,11.0,High,5.0,No,Big Cities,1.0,1.0
100135,81.0,1.0,Desktop,913.0,5.0,Avera,5.0,No,Beach,1.0,1.0
100136,76.0,0.0,Desktop,250.0,8.0,Low,3.0,No,Islands,1.0,4.0
100137,5.0,1.0,Mobile,186.0,11.0,High,1.0,Yes,OTHER,1.0,2.0
100138,5.0,1.0,Desktop,746.0,12.0,Low,3.0,Yes,Big Cities,1.0,4.0
100139,96.0,1.0,Mobile,49.0,8.0,Avera,4.0,No,OTHER,1.0,1.0
100140,20.0,1.0,Mobile,686.0,7.0,Avera,1.0,Yes,Hill Station,1.0,5.0
100141,17.0,0.0,Desktop,954.0,14.0,High,2.0,No,Big Cities,1.0,3.0
100142,75.0,1.0,Desktop,764.0,5.0,Avera,3.0,No,Big Cities,1.0,2.0
100143,45.0,0.0,Mobile,816.0,7.0,Low,2.0,No,Trekking,1.0,2.0
100144,5.0,0.0,Desktop,452.0,7.0,High,3.0,Yes,OTHER,1.0,2.0
100145,8.0,1.0,Mobile,875.0,8.0,High,1.0,No,Tech Cities,1.0,3.0
100146,42.0,1.0,Desktop,211.0,0.0,High,5.0,Yes,Trekking,1.0,5.0
100147,68.0,0.0,Mobile,311.0,9.0,High,3.0,No,Big Cities,1.0,1.0
100148,71.0,1.0,Mobile,49.0,1.0,Avera,4.0,No,Historical Site,1.0,1.0
100149,5.0,0.0,Mobile,397.0,1.0,Avera,3.0,Yes,OTHER,1.0,5.0
100150,5.0,0.0,Mobile,954.0,12.0,Avera,3.0,No,Islands,1.0,5.0
100151,5.0,1.0,Mobile,555.0,4.0,Avera,1.0,No,Big Cities,1.0,2.0
100152,10.0,0.0,Desktop,475.0,7.0,Avera,2.0,Yes,OTHER,1.0,4.0
100153,48.0,1.0,Desktop,179.0,14.0,Avera,4.0,Yes,Big Cities,1.0,1.0
100154,82.0,1.0,Mobile,386.0,11.0,High,1.0,Yes,Trekking,1.0,4.0
100155,66.0,1.0,Mobile,430.0,6.0,Avera,5.0,No,Beach,1.0,4.0
100156,80.0,0.0,Desktop,107.0,8.0,High,5.0,Yes,Big Cities,1.0,3.0
100157,33.0,0.0,Mobile,264.0,15.0,High,1.0,No,Islands,1.0,5.0
100158,30.0,0.0,Desktop,147.0,11.0,Avera,4.0,Yes,OTHER,0.0,4.0
100159,24.0,1.0,Mobile,479.0,7.0,Avera,4.0,No,Trekking,1.0,2.0
100160,17.0,1.0,Desktop,658.0,2.0,Avera,3.0,Yes,OTHER,1.0,4.0
100161,66.0,0.0,Mobile,743.0,9.0,Avera,2.0,Yes,Big Cities,1.0,2.0
100162,86.0,1.0,Mobile,49.0,5.0,Low,5.0,Yes,Islands,1.0,5.0
100163,65.0,1.0,Desktop,758.0,1.0,Avera,3.0,No,Big Cities,1.0,1.0
100164,8.0,0.0,Desktop,458.0,4.0,Avera,5.0,Yes,Beach,1.0,4.0
100165,24.0,0.0,Mobile,466.0,5.0,Avera,2.0,Yes,OTHER,1.0,2.0
100166,84.0,1.0,Mobile,243.0,11.0,Avera,2.0,Yes,Historical Site,1.0,1.0
100167,79.0,1.0,Desktop,826.0,7.0,High,4.0,Yes,Trekking,1.0,2.0
100168,30.0,1.0,Mobile,133.0,13.0,High,3.0,Yes,Beach,1.0,3.0
100169,87.0,0.0,Desktop,826.0,0.0,Low,2.0,No,Big Cities,1.0,1.0
100170,94.0,1.0,Desktop,101.0,2.0,Avera,5.0,No,Historical Site,0.0,1.0
100171,94.0,1.0,Desktop,343.0,13.0,High,1.0,No,OTHER,1.0,1.0
100172,60.0,1.0,Desktop,912.0,12.0,Avera,1.0,No,Hill Station,1.0,4.0
100173,56.0,1.0,Mobile,477.0,13.0,Low,4.0,Yes,Historical Site,1.0,4.0
100174,80.0,1.0,Mobile,298.0,12.0,Avera,5.0,No,OTHER,1.0,5.0
100175,71.0,1.0,Desktop,598.0,3.0,Avera,4.0,Yes,OTHER,1.0,3.0
100176,34.0,0.0,Desktop,738.0,14.0,Low,3.0,No,Trekking,1.0,4.0
100177,40.0,1.0,Mobile,500.0,6.0,High,3.0,No,OTHER,1.0,2.0
100178,39.0,0.0,Mobile,734.0,2.0,Avera,3.0,No,Beach,1.0,3.0
100179,60.0,0.0,Mobile,594.0,12.0,High,2.0,Yes,Beach,1.0,3.0
100180,85.0,0.0,Mobile,807.0,3.0,High,5.0,Yes,OTHER,1.0,4.0
100181,21.0,0.0,Mobile,486.0,11.0,High,1.0,Yes,Big Cities,1.0,4.0
100182,95.0,0.0,Desktop,507.0,5.0,Avera,5.0,Yes,OTHER,1.0,4.0
100183,33.0,0.0,Mobile,564.0,13.0,High,2.0,Yes,Big Cities,1.0,5.0
100184,45.0,0.0,Mobile,281.0,2.0,High,3.0,No,Trekking,1.0,3.0
100185,29.0,1.0,Mobile,220.0,6.0,Low,1.0,No,Historical Site,1.0,3.0
100186,94.0,1.0,Desktop,339.0,15.0,Avera,3.0,Yes,OTHER,1.0,1.0
100187,79.0,0.0,Mobile,458.0,14.0,High,1.0,Yes,OTHER,1.0,4.0
100188,93.0,0.0,Desktop,291.0,1.0,Low,5.0,No,OTHER,1.0,4.0
100189,80.0,1.0,Mobile,786.0,0.0,Avera,3.0,Yes,Hill Station,1.0,2.0
100190,35.0,0.0,Mobile,115.0,4.0,Avera,1.0,Yes,OTHER,1.0,3.0
100191,88.0,0.0,Mobile,659.0,8.0,Avera,4.0,Yes,OTHER,1.0,2.0
100192,71.0,0.0,Mobile,595.0,6.0,High,2.0,Yes,OTHER,1.0,5.0
100193,75.0,0.0,Mobile,411.0,12.0,Avera,3.0,Yes,Hill Station,1.0,2.0
100194,60.0,1.0,Mobile,819.0,7.0,Low,1.0,Yes,Tech Cities,1.0,4.0
100195,52.0,0.0,Mobile,724.0,12.0,Low,2.0,Yes,OTHER,1.0,1.0
100196,72.0,0.0,Desktop,763.0,3.0,High,4.0,Yes,Tech Cities,1.0,1.0
100197,63.0,1.0,Desktop,401.0,0.0,High,4.0,Yes,Trekking,1.0,1.0
100198,34.0,1.0,Mobile,456.0,3.0,Avera,4.0,No,OTHER,1.0,1.0
100199,74.0,0.0,Desktop,819.0,13.0,Low,5.0,No,Trekking,1.0,1.0
100200,48.0,0.0,Mobile,272.0,12.0,Low,5.0,Yes,Tech Cities,1.0,4.0
100201,89.0,0.0,Mobile,508.0,8.0,Avera,2.0,No,OTHER,0.0,2.0
100202,15.0,0.0,Desktop,581.0,3.0,Avera,2.0,Yes,Tech Cities,1.0,1.0
100203,63.0,1.0,Mobile,49.0,4.0,Low,3.0,Yes,Historical Site,1.0,2.0
100204,67.0,1.0,Desktop,350.0,11.0,Avera,2.0,Yes,Historical Site,1.0,2.0
100205,84.0,0.0,Mobile,689.0,6.0,High,5.0,Yes,OTHER,0.0,5.0
100206,63.0,1.0,Desktop,235.0,5.0,Avera,5.0,Yes,OTHER,1.0,4.0
100207,73.0,1.0,Mobile,617.0,13.0,Avera,4.0,No,OTHER,1.0,4.0
100208,16.0,0.0,Desktop,521.0,3.0,Avera,4.0,Yes,Historical Site,1.0,5.0
100209,96.0,1.0,Mobile,702.0,11.0,Avera,3.0,No,OTHER,1.0,4.0
100210,34.0,0.0,Desktop,420.0,12.0,Avera,3.0,No,Hill Station,0.0,4.0
100211,93.0,1.0,Mobile,954.0,1.0,Avera,2.0,No,Hill Station,1.0,2.0
100212,25.0,0.0,Desktop,329.0,12.0,High,2.0,Yes,OTHER,1.0,4.0
100213,61.0,0.0,Desktop,343.0,8.0,Avera,1.0,Yes,Historical Site,1.0,5.0
100214,89.0,1.0,Mobile,818.0,14.0,Low,2.0,No,Historical Site,0.0,4.0
100215,50.0,1.0,Mobile,948.0,3.0,High,2.0,No,Trekking,1.0,1.0
100216,92.0,0.0,Desktop,167.0,9.0,High,3.0,No,Hill Station,1.0,5.0
100217,93.0,1.0,Desktop,189.0,15.0,Avera,1.0,No,OTHER,1.0,4.0
100218,60.0,1.0,Mobile,539.0,2.0,High,2.0,Yes,Tech Cities,1.0,3.0
100219,72.0,0.0,Mobile,499.0,13.0,Avera,4.0,No,OTHER,1.0,1.0
100220,89.0,1.0,Mobile,954.0,8.0,High,5.0,No,OTHER,1.0,1.0
100221,10.0,0.0,Desktop,862.0,15.0,Avera,2.0,Yes,Historical Site,1.0,3.0
100222,68.0,0.0,Desktop,365.0,6.0,Avera,3.0,No,OTHER,1.0,4.0
100223,52.0,1.0,Desktop,134.0,0.0,Avera,3.0,No,OTHER,0.0,4.0
100224,72.0,0.0,Mobile,171.0,10.0,High,2.0,Yes,Big Cities,1.0,5.0
100225,50.0,0.0,Mobile,731.0,11.0,Avera,2.0,Yes,OTHER,1.0,1.0
100226,68.0,1.0,Mobile,454.0,5.0,Avera,3.0,Yes,OTHER,1.0,5.0
100227,96.0,1.0,Desktop,397.0,0.0,Avera,2.0,Yes,Islands,0.0,5.0
100228,81.0,1.0,Desktop,465.0,3.0,High,4.0,No,OTHER,1.0,4.0
100229,35.0,0.0,Mobile,625.0,10.0,Avera,1.0,No,Historical Site,1.0,2.0
100230,18.0,1.0,Desktop,642.0,7.0,Avera,4.0,No,Big Cities,1.0,4.0
100231,68.0,0.0,Desktop,219.0,5.0,High,1.0,Yes,Islands,1.0,4.0
100232,63.0,0.0,Mobile,479.0,6.0,Avera,5.0,No,Historical Site,1.0,3.0
100233,5.0,1.0,Mobile,343.0,3.0,High,1.0,No,OTHER,1.0,3.0
100234,82.0,1.0,Mobile,517.0,2.0,Avera,1.0,No,Historical Site,1.0,4.0
100235,96.0,1.0,Desktop,104.0,15.0,Avera,1.0,No,Tech Cities,1.0,2.0
100236,96.0,1.0,Mobile,455.0,3.0,Avera,5.0,Yes,Hill Station,0.0,1.0
100237,39.0,1.0,Desktop,191.0,2.0,Avera,3.0,No,OTHER,1.0,5.0
100238,22.0,0.0,Mobile,724.0,5.0,High,3.0,No,OTHER,1.0,1.0
100239,51.0,0.0,Mobile,354.0,2.0,Avera,5.0,No,Big Cities,1.0,1.0
100240,56.0,0.0,Desktop,207.0,4.0,Avera,3.0,Yes,Big Cities,1.0,2.0
100241,14.0,0.0,Desktop,750.0,12.0,High,1.0,Yes,OTHER,1.0,5.0
100242,83.0,0.0,Mobile,539.0,4.0,Low,5.0,No,OTHER,1.0,5.0
100243,89.0,1.0,Desktop,278.0,12.0,High,1.0,Yes,OTHER,1.0,5.0
100244,43.0,1.0,Desktop,953.0,4.0,Avera,5.0,Yes,Hill Station,1.0,5.0
100245,85.0,1.0,Mobile,571.0,7.0,High,3.0,Yes,OTHER,0.0,1.0
100246,91.0,1.0,Desktop,342.0,5.0,Avera,5.0,No,OTHER,1.0,2.0
100247,18.0,0.0,Mobile,668.0,1.0,Avera,1.0,Yes,OTHER,1.0,5.0
100248,14.0,1.0,Desktop,709.0,8.0,Avera,3.0,No,Historical Site,1.0,1.0
100249,49.0,0.0,Desktop,733.0,11.0,Avera,2.0,Yes,Hill Station,1.0,4.0
100250,53.0,1.0,Desktop,563.0,15.0,Low,3.0,No,Tech Cities,1.0,4.0
100251,37.0,1.0,Mobile,679.0,8.0,High,2.0,Yes,OTHER,1.0,1.0
100252,83.0,0.0,Desktop,370.0,11.0,Low,1.0,Yes,OTHER,1.0,3.0
100253,15.0,0.0,Desktop,166.0,8.0,High,1.0,Yes,Big Cities,1.0,1.0
100254,5.0,0.0,Desktop,125.0,8.0,Avera,1.0,Yes,Historical Site,1.0,1.0
100255,72.0,1.0,Mobile,937.0,10.0,Avera,2.0,Yes,Big Cities,1.0,5.0
100256,63.0,1.0,Mobile,65.0,4.0,High,4.0,No,OTHER,1.0,4.0
100257,68.0,0.0,Mobile,719.0,0.0,Low,1.0,Yes,Islands,1.0,4.0
100258,45.0,0.0,Desktop,137.0,1.0,Avera,4.0,Yes,Trekking,1.0,1.0
100259,75.0,1.0,Desktop,954.0,5.0,High,4.0,Yes,OTHER,1.0,4.0
100260,13.0,1.0,Mobile,155.0,7.0,Low,2.0,Yes,Big Cities,0.0,5.0
100261,51.0,0.0,Desktop,49.0,9.0,Low,3.0,No,Hill Station,1.0,3.0
100262,73.0,0.0,Mobile,664.0,7.0,Low,3.0,Yes,Trekking,0.0,1.0
100263,62.0,0.0,Desktop,579.0,10.0,Avera,1.0,Yes,Hill Station,1.0,2.0
100264,8.0,1.0,Desktop,730.0,5.0,High,1.0,No,Historical Site,1.0,5.0
100265,5.0,0.0,Desktop,798.0,15.0,High,3.0,No,OTHER,1.0,5.0
100266,46.0,1.0,Mobile,576.0,6.0,High,2.0,Yes,Big Cities,1.0,3.0
100267,78.0,0.0,Desktop,889.0,14.0,Avera,4.0,Yes,OTHER,1.0,3.0
100268,89.0,0.0,Desktop,413.0,14.0,High,5.0,Yes,Islands,1.0,5.0
100269,96.0,0.0,Mobile,401.0,1.0,Low,3.0,Yes,OTHER,1.0,3.0
100270,69.0,0.0,Desktop,108.0,8.0,Avera,2.0,No,Trekking,1.0,3.0
100271,66.0,1.0,Desktop,779.0,13.0,Avera,4.0,Yes,OTHER,1.0,4.0
100272,10.0,1.0,Desktop,501.0,1.0,High,5.0,Yes,OTHER,1.0,4.0
100273,57.0,1.0,Desktop,690.0,2.0,High,4.0,No,Big Cities,1.0,5.0
100274,45.0,1.0,Desktop,261.0,11.0,High,2.0,Yes,OTHER,1.0,4.0
100275,61.0,1.0,Mobile,204.0,5.0,Avera,4.0,No,Big Cities,1.0,3.0
100276,57.0,1.0,Mobile,697.0,9.0,Avera,1.0,No,OTHER,1.0,3.0
100277,83.0,1.0,Desktop,954.0,7.0,High,3.0,Yes,Islands,1.0,4.0
100278,68.0,0.0,Mobile,954.0,4.0,Avera,1.0,No,Hill Station,1.0,5.0
100279,40.0,1.0,Mobile,591.0,0.0,Avera,5.0,Yes,Big Cities,1.0,3.0
100280,92.0,1.0,Mobile,344.0,15.0,Avera,4.0,No,Big Cities,1.0,5.0
100281,79.0,1.0,Desktop,538.0,1.0,Avera,3.0,No,Trekking,0.0,1.0
100282,92.0,1.0,Desktop,49.0,7.0,Low,1.0,No,Trekking,1.0,2.0
100283,88.0,1.0,Desktop,279.0,6.0,High,3.0,No,Trekking,1.0,2.0
100284,34.0,0.0,Mobile,702.0,8.0,High,5.0,No,Trekking,1.0,2.0
100285,56.0,0.0,Mobile,198.0,5.0,Avera,3.0,No,Beach,1.0,2.0
100286,47.0,0.0,Mobile,243.0,8.0,High,5.0,Yes,Trekking,1.0,1.0
100287,93.0,1.0,Mobile,630.0,4.0,High,5.0,Yes,OTHER,1.0,1.0
100288,15.0,0.0,Mobile,229.0,12.0,Low,1.0,No,Islands,1.0,5.0
100289,72.0,1.0,Mobile,644.0,5.0,Avera,1.0,No,Big Cities,1.0,2.0
100290,30.0,0.0,Mobile,447.0,4.0,High,2.0,Yes,Beach,1.0,4.0
